"code_site";"code_station";"date_obs_elab";"resultat_obs_elab";"date_prod";"code_statut";"libelle_statut";"code_methode";"libelle_methode";"code_qualification";"libelle_qualification";"longitude";"latitude";"grandeur_hydro_elab"
"F7000001";"F700000103";"2023-06-01";"110499.0";"2025-04-24T14:09:01Z";"16";"Donnée validée";"10";"Expertisée";"20";"Bonne";"2.3655106354242985";"48.84468961972986";"QmnJ"
"F7000001";"F700000103";"2023-06-02";"93744.0";"2025-04-24T14:09:01Z";"16";"Donnée validée";"10";"Expertisée";"20";"Bonne";"2.3655106354242985";"48.84468961972986";"QmnJ"
"F7000001";"F700000103";"2023-06-03";"102567.0";"2025-04-24T14:09:01Z";"16";"Donnée validée";"10";"Expertisée";"20";"Bonne";"2.3655106354242985";"48.84468961972986";"QmnJ"
"F7000001";"F700000103";"2023-06-04";"104348.0";"2025-04-24T14:09:01Z";"16";"Donnée validée";"10";"Expertisée";"20";"Bonne";"2.3655106354242985";"48.84468961972986";"QmnJ"
"F7000001";"F700000103";"2023-06-05";"106455.0";"2025-04-24T14:09:01Z";"16";"Donnée validée";"10";"Expertisée";"20";"Bonne";"2.3655106354242985";"48.84468961972986";"QmnJ"
"F7000001";"F700000103";"2023-06-06";"98312.0";"2025-04-24T14:09:01Z";"16";"Donnée validée";"10";"Expertisée";"20";"Bonne";"2.3655106354242985";"48.84468961972986";"QmnJ"
"F7000001";"F700000103";"2023-06-07";"97168.0";"2025-04-24T14:09:01Z";"16";"Donnée validée";"10";"Expertisée";"20";"Bonne";"2.3655106354242985";"48.84468961972986";"QmnJ"
"F7000001";"F700000103";"2023-06-08";"95009.0";"2025-04-24T14:09:01Z";"16";"Donnée validée";"10";"Expertisée";"20";"Bonne";"2.3655106354242985";"48.84468961972986";"QmnJ"
"F7000001";"F700000103";"2023-06-09";"90858.0";"2025-04-24T14:09:01Z";"16";"Donnée validée";"10";"Expertisée";"20";"Bonne";"2.3655106354242985";"48.84468961972986";"QmnJ"
"F7000001";"F700000103";"2023-06-10";"89499.0";"2025-04-24T14:09:01Z";"16";"Donnée validée";"10";"Expertisée";"20";"Bonne";"2.3655106354242985";"48.84468961972986";"QmnJ"
"F7000001";"F700000103";"2023-06-11";"95108.0";"2025-04-24T14:09:01Z";"16";"Donnée validée";"10";"Expertisée";"20";"Bonne";"2.3655106354242985";"48.84468961972986";"QmnJ"
"F7000001";"F700000103";"2023-06-12";"99787.0";"2025-04-24T14:09:01Z";"16";"Donnée validée";"10";"Expertisée";"20";"Bonne";"2.3655106354242985";"48.84468961972986";"QmnJ"
"F7000001";"F700000103";"2023-06-13";"95983.0";"2025-04-24T14:09:01Z";"16";"Donnée validée";"10";"Expertisée";"20";"Bonne";"2.3655106354242985";"48.84468961972986";"QmnJ"
"F7000001";"F700000103";"2023-06-14";"90483.0";"2025-04-24T14:09:01Z";"16";"Donnée validée";"10";"Expertisée";"20";"Bonne";"2.3655106354242985";"48.84468961972986";"QmnJ"
"F7000001";"F700000103";"2023-06-15";"88941.0";"2025-04-24T14:09:01Z";"16";"Donnée validée";"10";"Expertisée";"20";"Bonne";"2.3655106354242985";"48.84468961972986";"QmnJ"
"F7000001";"F700000103";"2023-06-16";"78051.0";"2025-04-24T14:09:01Z";"16";"Donnée validée";"10";"Expertisée";"20";"Bonne";"2.3655106354242985";"48.84468961972986";"QmnJ"
"F7000001";"F700000103";"2023-06-17";"81540.0";"2025-04-24T14:09:01Z";"16";"Donnée validée";"10";"Expertisée";"20";"Bonne";"2.3655106354242985";"48.84468961972986";"QmnJ"
"F7000001";"F700000103";"2023-06-18";"94263.0";"2025-04-24T14:09:01Z";"16";"Donnée validée";"8";"Calculée";"20";"Bonne";"2.3655106354242985";"48.84468961972986";"QmnJ"
"F7000001";"F700000103";"2023-06-19";"102472.0";"2025-04-24T14:09:01Z";"16";"Donnée validée";"8";"Calculée";"20";"Bonne";"2.3655106354242985";"48.84468961972986";"QmnJ"
"F7000001";"F700000103";"2023-06-20";"97777.0";"2025-04-24T14:09:01Z";"16";"Donnée validée";"8";"Calculée";"20";"Bonne";"2.3655106354242985";"48.84468961972986";"QmnJ"
"F7000001";"F700000103";"2023-06-21";"111910.0";"2025-04-24T14:09:01Z";"16";"Donnée validée";"8";"Calculée";"20";"Bonne";"2.3655106354242985";"48.84468961972986";"QmnJ"
"F7000001";"F700000103";"2023-06-22";"170651.0";"2025-04-24T14:09:01Z";"16";"Donnée validée";"8";"Calculée";"20";"Bonne";"2.3655106354242985";"48.84468961972986";"QmnJ"
"F7000001";"F700000103";"2023-06-23";"172194.0";"2025-04-24T14:09:01Z";"16";"Donnée validée";"8";"Calculée";"20";"Bonne";"2.3655106354242985";"48.84468961972986";"QmnJ"
"F7000001";"F700000103";"2023-06-24";"173938.0";"2025-04-24T14:09:01Z";"16";"Donnée validée";"8";"Calculée";"20";"Bonne";"2.3655106354242985";"48.84468961972986";"QmnJ"
"F7000001";"F700000103";"2023-06-25";"136947.0";"2025-04-24T14:09:01Z";"16";"Donnée validée";"8";"Calculée";"20";"Bonne";"2.3655106354242985";"48.84468961972986";"QmnJ"
"F7000001";"F700000103";"2023-06-26";"112968.0";"2025-04-24T14:09:01Z";"16";"Donnée validée";"8";"Calculée";"20";"Bonne";"2.3655106354242985";"48.84468961972986";"QmnJ"
